# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.7343E+00   1.8778E+00
   2.7343E+00   1.8779E+00
   2.7343E+00   1.8779E+00
   2.7344E+00   1.8780E+00
   2.7344E+00   1.8781E+00
   2.7344E+00   1.8781E+00
   2.7344E+00   1.8781E+00
   2.7344E+00   1.8781E+00
   2.7344E+00   1.8781E+00
   2.7344E+00   1.8782E+00
   2.7345E+00   1.8783E+00
   2.7345E+00   1.8784E+00
   2.7346E+00   1.8786E+00
   2.7347E+00   1.8790E+00
   2.7349E+00   1.8796E+00
   2.7352E+00   1.8804E+00
   2.7356E+00   1.8816E+00
   2.7364E+00   1.8835E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8835E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8836E+00
   2.7364E+00   1.8836E+00
   2.7365E+00   1.8837E+00
   2.7365E+00   1.8837E+00
   2.7366E+00   1.8838E+00
   2.7368E+00   1.8840E+00
   2.7371E+00   1.8843E+00
   2.7376E+00   1.8850E+00
   2.7384E+00   1.8860E+00
   2.7384E+00   1.8860E+00
   2.7384E+00   1.8861E+00
