# Trace from filein = ./62270a01                                                                                                                   
#   time        NE0                                                                                                                          
   2.7113E+00   5.2411E+01
   2.7113E+00   5.2411E+01
   2.7113E+00   5.2411E+01
   2.7113E+00   5.2411E+01
   2.7113E+00   5.2412E+01
   2.7113E+00   5.2412E+01
   2.7113E+00   5.2413E+01
   2.7113E+00   5.2414E+01
   2.7113E+00   5.2414E+01
   2.7113E+00   5.2413E+01
   2.7114E+00   5.2412E+01
   2.7114E+00   5.2410E+01
   2.7114E+00   5.2408E+01
   2.7114E+00   5.2405E+01
   2.7115E+00   5.2403E+01
   2.7115E+00   5.2400E+01
   2.7115E+00   5.2396E+01
   2.7115E+00   5.2393E+01
   2.7116E+00   5.2389E+01
   2.7116E+00   5.2384E+01
   2.7116E+00   5.2381E+01
   2.7116E+00   5.2380E+01
   2.7116E+00   5.2379E+01
   2.7117E+00   5.2378E+01
   2.7117E+00   5.2376E+01
   2.7117E+00   5.2373E+01
   2.7117E+00   5.2372E+01
   2.7117E+00   5.2370E+01
   2.7118E+00   5.2367E+01
   2.7118E+00   5.2364E+01
   2.7118E+00   5.2360E+01
   2.7119E+00   5.2354E+01
   2.7120E+00   5.2345E+01
   2.7121E+00   5.2334E+01
   2.7122E+00   5.2327E+01
   2.7123E+00   5.2314E+01
   2.7124E+00   5.2305E+01
   2.7125E+00   5.2296E+01
   2.7126E+00   5.2282E+01
   2.7129E+00   5.2258E+01
   2.7133E+00   5.2218E+01
   2.7140E+00   5.2152E+01
   2.7153E+00   5.2047E+01
   2.7176E+00   5.1885E+01
   2.7190E+00   5.1777E+01
   2.7208E+00   5.1648E+01
   2.7234E+00   5.1489E+01
   2.7274E+00   5.1284E+01
   2.7343E+00   5.1026E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1025E+01
   2.7343E+00   5.1024E+01
   2.7343E+00   5.1024E+01
   2.7343E+00   5.1024E+01
   2.7343E+00   5.1023E+01
   2.7343E+00   5.1022E+01
   2.7343E+00   5.1021E+01
   2.7343E+00   5.1020E+01
   2.7343E+00   5.1019E+01
   2.7343E+00   5.1018E+01
   2.7344E+00   5.1016E+01
   2.7344E+00   5.1013E+01
   2.7344E+00   5.1013E+01
   2.7344E+00   5.1013E+01
   2.7344E+00   5.1012E+01
   2.7344E+00   5.1011E+01
   2.7344E+00   5.1010E+01
   2.7345E+00   5.1007E+01
   2.7345E+00   5.1004E+01
   2.7346E+00   5.0997E+01
   2.7347E+00   5.0986E+01
   2.7349E+00   5.0968E+01
   2.7352E+00   5.0943E+01
   2.7356E+00   5.0904E+01
   2.7364E+00   5.0842E+01
   2.7364E+00   5.0841E+01
   2.7364E+00   5.0840E+01
   2.7364E+00   5.0839E+01
   2.7364E+00   5.0840E+01
   2.7364E+00   5.0840E+01
   2.7364E+00   5.0840E+01
   2.7364E+00   5.0839E+01
   2.7364E+00   5.0838E+01
   2.7365E+00   5.0836E+01
   2.7365E+00   5.0834E+01
   2.7366E+00   5.0831E+01
   2.7368E+00   5.0824E+01
   2.7371E+00   5.0812E+01
   2.7376E+00   5.0790E+01
   2.7384E+00   5.0753E+01
   2.7384E+00   5.0752E+01
   2.7384E+00   5.0751E+01
