# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4417E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4416E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4415E+00
   2.4701E+00   1.4414E+00
   2.4701E+00   1.4414E+00
   2.4701E+00   1.4413E+00
   2.4701E+00   1.4412E+00
   2.4702E+00   1.4412E+00
   2.4702E+00   1.4411E+00
   2.4702E+00   1.4408E+00
   2.4703E+00   1.4405E+00
   2.4703E+00   1.4404E+00
   2.4703E+00   1.4402E+00
   2.4703E+00   1.4401E+00
   2.4704E+00   1.4399E+00
   2.4704E+00   1.4398E+00
   2.4704E+00   1.4396E+00
   2.4704E+00   1.4395E+00
   2.4704E+00   1.4394E+00
   2.4705E+00   1.4393E+00
   2.4705E+00   1.4392E+00
   2.4705E+00   1.4392E+00
   2.4705E+00   1.4392E+00
   2.4705E+00   1.4391E+00
   2.4705E+00   1.4391E+00
   2.4705E+00   1.4391E+00
   2.4705E+00   1.4391E+00
   2.4705E+00   1.4390E+00
   2.4705E+00   1.4390E+00
   2.4705E+00   1.4389E+00
   2.4706E+00   1.4388E+00
   2.4706E+00   1.4387E+00
   2.4706E+00   1.4385E+00
   2.4706E+00   1.4384E+00
   2.4707E+00   1.4382E+00
   2.4707E+00   1.4380E+00
   2.4708E+00   1.4379E+00
   2.4708E+00   1.4377E+00
